guy: guys guy 
inability: inability 
verse: verses verse 
contributor: contributor contributors 
actually: actually 
effigy: effigy 
greatest: greatest 
read: read 
lawn: lawn 
punchin: punchin 
ringer: ringer 
lil: lil 
slump: slump 
english: english 
rappin: rappin 
part: parts part 
call: calls call 
header: headers 
right: right rights 
mansion: mansions 
chopper: choppers 
roach: roach 
ask: ask 
written: written 
performance: performance 
format: format 
key: keys 
vocalist: vocalists 
reapin: reapin 
ah: ah 
developer: developers 
road: road 
christmas: christmas 
ketamine: ketamine 
clown: clowns 
jugular: jugular 
licked: licked 
elevator: elevator 
collaboration: collaboration 
admit: admit 
phonographic: phonographic 
level: levels level 
side: side 
remix: remix 
pull: pull 
die: die 
rk: rk 
mixing: mixing 
regret: regret 
view: view 
musical: musical 
stack: stacks 
visit: visit 
though: though 
created: created 
shit: shit 
uno: uno 
detroit: detroit 
contain: contain 
theme: theme 
p: p 
xxxtentacion: xxxtentacion 
play: play 
see: see 
lotta: lotta 
ounce: ounce 
eatin: eatin 
ghetto: ghetto 
wishin: wishin 
meant: meant 
medium: media 
reef: reeves 
lucky: lucky 
broken: broken 
different: different 
suffer: suffer 
bought: bought 
vida: vida 
twelve: twelve 
polar: polar 
rock: rock 
enough: enough 
e: es e 
video: videos video 
featured: featured 
circus: circus 
album: album 
flow: flow 
nothin: nothin 
sampled: sampled 
light: light 
tag: tags 
label: label 
mc: mc 
hol: hol 
reverse: reverse 
matter: matter 
michael: michael 
al: al 
job: job jobs 
producer: producers 
acetaminophen: acetaminophen 
ba: ba 
got: got 
path: path 
takin: takin 
ace: ace 
bigger: bigger 
steadily: steadily 
tryna: tryna 
rhyme: rhyme 
oven: oven 
type: type 
bullshit: bullshit 
release: release releases 
b: b 
lean: lean 
inte: inte 
kitchen: kitchen 
rule: rules 
evil: evil 
ripper: ripper 
pray: pray 
gangster: gangster 
askin: askin 
joe: joe 
prolly: prolly 
normal: normal 
group: group 
would: would 
bmi: bmi 
ettrick: ettrick 
intro: intro 
french: french 
wrighty: wrighty 
randhawa: randhawa 
cujo: cujo 
asleep: asleep 
x: x 
transcriber: transcribers 
night: night 
tabby: tabby 
away: away 
lot: lot 
received: received 
pac: pac 
luis: luis 
inevitable: inevitable 
kanes: kanes 
mpl: mpl 
policy: policy 
publisher: publisher 
kendrick: kendrick 
shepherd: shepherd 
etc: etc 
sell: sell 
could: could 
fran: fran 
took: took 
topic: topic 
portugu: portugu 
minute: minute 
connect: connect 
lose: lose 
paul: paul 
writer: writer 
illist: illist 
snap: snap 
markeith: markeith 
used: used 
annotation: annotation 
perform: perform 
practically: practically 
relevant: relevant 
blade: blades 
opposing: opposing 
reject: rejects 
woah: woah 
finished: finished 
david: david 
opposite: opposites 
bunch: bunch 
told: told 
genius: genius 
overlooked: overlooked 
elementary: elementary 
somethin: somethin 
lost: lost 
people: people 
featuring: featuring 
sample: samples sample 
day: days day 
press: press 
cut: cut 
freestyle: freestyle 
sound: sound 
pt: pt 
mike: mike 
cab: cab 
long: long 
pear: pear 
grammys: grammys 
gon: gon 
bull: bull 
u: u us 
verified: verified 
pumpin: pumpin 
n: n 
g: g 
face: face 
ceiling: ceiling 
show: show 
mixed: mixed 
rah: rah 
room: room 
mar: mars 
bruno: bruno 
knowledge: knowledge 
every: every 
ppnar: ppnar 
begin: begin 
ticci: ticci 
tay: tay 
bop: bop 
ghostwriter: ghostwriters 
make: make 
seem: seem 
status: status 
death: death 
line: lines 
brasil: brasil 
licensing: licensing 
boca: boca 
j: j 
toby: toby 
sony: sony 
chulo: chulo 
life: life 
pen: pen 
italiane: italiane 
jl: jl 
killin: killin 
cater: cater 
say: say 
ol: ol 
prob: prob 
forum: forum 
lookin: lookin 
traducciones: traducciones 
aim: aim 
said: said 
inside: inside 
mad: mad 
difference: difference 
advertise: advertise 
breaker: breaker 
ai: aises ais 
many: many 
additional: additional 
add: add 
gaining: gaining 
hey: hey 
august: august 
pushin: pushin 
varf: varf 
marshall: marshall 
location: location 
fact: fact facts 
recognition: recognition 
understand: understand 
guide: guide 
rain: rain 
conor: conor 
traduzione: traduzione 
son: son 
break: break 
thematic: thematic 
chain: chains 
employed: employed 
pill: pill 
boom: boom 
promote: promote 
hip: hip 
sweet: sweet 
alike: alike 
kobalt: kobalt 
wish: wish 
hundred: hundred 
copyright: copyright 
biggest: biggest 
bold: bold 
hood: hood 
yuh: yuh 
f: f 
bottom: bottom 
old: old 
smb: smb 
llate: llate 
lucas: lucas 
sicko: sicko 
benefit: benefits 
primrose: primrose 
contact: contact 
em: em 
turkish: turkish 
partridge: partridge 
bap: bap 
scene: scene 
brink: brink 
ml: ml 
impressive: impressive 
outlaw: outlaw 
ate: ate 
mask: mask 
mine: mine 
production: production 
banger: bangers 
alone: alone 
also: also 
distributor: distributor 
get: get 
runnin: runnin 
wall: wall 
mean: mean 
slither: slither 
seventy: seventy 
kill: kill 
translation: translations translation 
traducci: traducci 
reem: reem 
boi: boi 
asap: asap 
recap: recap 
comin: comin 
fastest: fastest 
end: end 
explained: explained 
resto: resto 
characteristic: characteristics 
thing: things 
system: system 
racist: racist 
ho: ho 
lanez: lanez 
mano: mano 
bring: bring 
cancel: cancel 
trap: trap 
keanu: keanu 
snake: snakes 
z: z 
buzzin: buzzin 
lever: lever 
record: record records 
milligram: milligram 
mode: mode 
turn: turn 
nice: nice 
mastering: mastering 
way: way 
least: least 
tory: tory 
damage: damage 
made: made 
finishin: finishin 
dankwah: dankwah 
nah: nah 
top: top 
da: da 
button: button 
term: terms 
interscope: interscope 
take: take 
uncomfortable: uncomfortable 
payback: payback 
lamar: lamar 
maric: maric 
mile: mile 
interpolate: interpolate 
god: god 
hop: hop 
keep: keep 
la: la 
aise: aise 
embed: embed 
intent: intent 
first: first 
winning: winning 
dna: dna 
tat: tats 
beast: beast 
invented: invented 
universal: universal 
ft: ft 
campana: campana 
time: time 
last: last 
methamphetamine: methamphetamine 
damentional: damentional 
ever: ever 
aftermath: aftermath 
collaborated: collaborated 
hot: hot 
lie: lie lies 
three: three 
farsi: farsi 
strange: strange 
current: current 
well: well 
ultimate: ultimate 
refrain: refrain 
tree: tree 
cowboy: cowboys 
wrong: wrong 
judge: judge 
ribbon: ribbon 
like: like 
distinguish: distinguish 
makin: makin 
minithin: minithin 
cover: covers 
wreak: wreak 
better: better 
hurt: hurt 
risk: risk 
refix: refix 
fuck: fuck 
mejor: mejor 
waitin: waitin 
went: went 
sec: sec 
source: source 
need: need 
hand: hand 
sign: sign 
q: q 
half: half 
legacy: legacy 
motherfuckin: motherfuckin 
stepping: stepping 
r: r 
attention: attention 
done: done 
bup: bup 
spanish: spanish 
smith: smith 
llc: llc 
adamar: adamar 
ross: ross 
tape: tape 
award: awards 
lance: lance 
insight: insight 
working: working 
speed: speed 
viral: viral 
ya: ya 
couple: couple 
studio: studios 
expand: expand 
motherfuck: motherfuck 
hell: hell 
recording: recording 
shawty: shawty 
portuguese: portuguese 
mac: mac 
episode: episode 
mumble: mumble 
chloraseptic: chloraseptic 
stomach: stomach 
repeating: repeating 
track: track 
although: although 
til: til 
plate: plate 
love: love 
hit: hit 
find: find 
publishing: publishing 
soul: soul 
date: date 
culo: culo 
food: food 
sap: sap 
platinum: platinum 
girl: girls 
underdog: underdog 
c: c 
southpaw: southpaw 
reservoir: reservoir 
sold: sold 
beef: beef 
skit: skit 
fast: fast 
adat: adat 
ak: ak 
sumo: sumo 
draw: draw 
straight: straight 
jammies: jammies 
dog: dog 
ski: ski 
logic: logic 
h: h 
individual: individual 
cause: cause 
shoot: shoot 
masta: masta 
smoke: smoke 
four: four 
lifestyle: lifestyle 
venom: venom 
know: know 
comercially: comercially 
personal: personal 
eminem: eminem 
transcription: transcription 
chart: charts 
might: might 
chinese: chinese 
hard: hard 
suckin: suckin 
whxxzy: whxxzy 
subject: subject 
yeah: yeah 
moment: moment 
brian: brian 
dis: diss 
full: full 
socan: socan 
band: bands 
bullet: bullets 
puto: puto 
brain: brain 
music: music 
l: l 
italian: italian 
jahaan: jahaan 
really: really 
needed: needed 
one: ones 
global: global 
live: live 
havoc: havoc 
question: question 
isi: isis 
drop: drop 
gotta: gotta 
shop: shop 
espa: espa 
produced: produced 
feeling: feeling 
ly: ly 
learn: learn 
downfall: downfall 
somewhat: somewhat 
often: often 
wanted: wanted 
happened: happened 
recorded: recorded 
perspective: perspectives 
illadaproducer: illadaproducer 
ta: ta 
italiana: italiana 
scholar: scholars 
card: cards 
motherfucker: motherfucker 
fell: fell 
viva: viva 
fuckin: fuckin 
interpolation: interpolations 
stopping: stopping 
drought: drought 
traduzioni: traduzioni 
entertainment: entertainment 
karate: karate 
beat: beat 
italiano: italiano 
drink: drink 
kat: kat 
